Player,Season,Age,Tm,Lg,G,MP,GS,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Elfrid Payton,2019-20,25,NYK,NBA,45,1246,36,16.0,0.157,0.195,4.3,14.1,9.1,38.6,2.7,1.3,16.7,19.5,105,111,0.5,1.2,1.7,0.065,-0.3,0.3,0.0,0.6
Doug McDermott,2019-20,28,IND,NBA,62,1242,0,14.3,0.54,0.106,2.1,11.7,6.9,8.3,0.4,0.3,7.2,19.6,118,113,2.1,0.9,3.0,0.115,1.5,-1.5,0.0,0.6
DeAndre Jordan,2019-20,31,BRK,NBA,56,1234,6,20.0,0.0,0.425,12.1,34.2,23.4,12.8,0.7,3.5,17.8,14.1,128,104,3.0,2.3,5.3,0.204,1.1,1.8,2.8,1.5
Shabazz Napier,2019-20,28,TOT,NBA,51,1234,30,14.5,0.5379999999999999,0.341,2.1,10.8,6.3,29.1,2.5,0.6,18.9,19.6,109,114,1.1,0.8,1.9,0.075,-0.3,-0.2,-0.5,0.5
Tyus Jones,2019-20,23,MEM,NBA,65,1232,6,15.7,0.289,0.135,0.8,7.9,4.4,31.7,2.2,0.4,10.8,17.2,116,112,2.0,1.0,3.0,0.115,0.4,0.1,0.6,0.8
Paul George,2019-20,29,LAC,NBA,42,1222,42,20.5,0.494,0.277,1.9,18.1,10.2,21.2,2.2,1.4,13.0,29.6,111,105,1.9,2.0,3.9,0.153,3.4,1.1,4.5,2.0
Draymond Green,2019-20,29,GSW,NBA,43,1222,43,12.6,0.408,0.263,2.0,22.3,11.8,31.2,2.3,2.4,21.8,15.7,100,110,-0.2,1.3,1.1,0.044,-2.0,1.9,-0.2,0.6
Rui Hachimura,2019-20,21,WAS,NBA,41,1217,41,13.9,0.16,0.243,5.5,17.4,11.2,8.3,1.3,0.5,7.5,18.7,112,117,1.3,0.4,1.7,0.066,-1.1,-1.9,-3.0,-0.3
D.J. Augustin,2019-20,32,ORL,NBA,49,1215,6,14.2,0.438,0.395,1.5,8.3,4.8,26.7,1.2,0.1,12.9,19.1,114,114,1.8,0.8,2.6,0.101,-0.3,-1.0,-1.4,0.2
Brad Wanamaker,2019-20,30,BOS,NBA,63,1215,1,11.8,0.28300000000000003,0.365,1.7,9.2,5.5,17.6,2.1,0.9,15.9,15.4,112,108,1.2,1.5,2.7,0.108,-2.5,1.2,-1.3,0.2
Malik Beasley,2019-20,23,TOT,NBA,55,1209,14,12.7,0.517,0.124,1.6,11.9,6.6,9.4,1.6,0.6,9.2,21.8,105,113,0.4,0.9,1.3,0.053,-0.7,-1.3,-2.0,0.0
Marquese Chriss,2019-20,22,GSW,NBA,59,1196,21,19.4,0.101,0.405,10.0,23.6,16.5,15.3,1.6,4.7,14.7,19.0,117,110,2.1,1.3,3.4,0.136,0.1,0.5,0.6,0.8
Dwight Howard,2019-20,34,LAL,NBA,62,1193,2,18.7,0.019,0.7,14.6,26.8,20.9,4.8,1.1,5.6,17.8,14.5,126,102,2.6,2.4,5.0,0.202,-0.8,1.4,0.5,0.8
T.J. McConnell,2019-20,27,IND,NBA,63,1188,3,16.2,0.041,0.099,3.0,12.1,7.6,37.2,1.8,0.8,18.5,17.2,113,110,1.6,1.4,2.9,0.119,0.1,0.2,0.3,0.7
Frank Ntilikina,2019-20,21,NYK,NBA,57,1187,26,9.8,0.411,0.177,2.0,9.1,5.4,20.2,2.2,1.3,16.5,15.4,103,113,0.1,0.8,0.9,0.037000000000000005,-3.6,0.4,-3.2,-0.4
Avery Bradley,2019-20,29,LAL,NBA,49,1186,44,8.9,0.452,0.063,1.7,8.7,5.3,7.1,1.7,0.4,10.7,15.7,104,109,0.2,1.4,1.6,0.066,-2.9,0.5,-2.4,-0.1
Mike Conley,2019-20,32,UTA,NBA,41,1171,35,13.7,0.438,0.241,2.7,9.5,6.2,22.8,1.3,0.3,12.4,23.0,108,112,1.0,1.0,2.1,0.085,0.4,-0.4,0.0,0.6
Terrance Ferguson,2019-20,21,OKC,NBA,50,1170,37,4.1,0.779,0.095,2.3,4.6,3.5,5.0,1.1,1.2,12.6,9.0,100,114,-0.1,0.8,0.7,0.027000000000000003,-4.5,0.3,-4.1,-0.6
Malik Monk,2019-20,21,CHO,NBA,55,1169,1,12.7,0.418,0.205,2.4,12.6,7.3,16.6,1.1,1.3,12.6,22.9,102,115,0.1,0.6,0.7,0.028,-1.0,-1.3,-2.3,-0.1
Kevin Knox,2019-20,20,NYK,NBA,65,1166,4,8.4,0.496,0.252,2.5,14.7,8.4,7.4,1.0,2.3,9.2,17.8,97,114,-0.5,0.7,0.2,0.006,-3.1,-1.1,-4.2,-0.6
Kevin Porter,2019-20,19,CLE,NBA,50,1162,3,10.8,0.375,0.24,2.1,13.5,7.7,13.9,1.9,1.0,16.7,20.5,99,115,-0.3,0.6,0.3,0.011,-3.2,-0.6,-3.7,-0.5
Ivica Zubac,2019-20,22,LAC,NBA,64,1156,62,21.0,0.006,0.42,15.2,25.7,20.6,8.7,0.5,4.6,11.8,16.2,132,104,3.6,2.0,5.6,0.231,1.5,1.0,2.5,1.3
Kyle Anderson,2019-20,26,MEM,NBA,59,1140,20,13.0,0.221,0.236,5.1,18.3,11.8,15.1,1.9,2.4,15.1,13.3,111,109,0.9,1.4,2.2,0.095,-1.3,1.9,0.6,0.7
Caris LeVert,2019-20,25,BRK,NBA,39,1131,25,15.1,0.31,0.264,3.7,10.6,7.2,23.5,1.8,0.5,12.6,28.8,101,110,-0.1,1.2,1.2,0.05,0.1,-0.7,-0.6,0.4
JaMychal Green,2019-20,29,LAC,NBA,55,1130,0,10.8,0.675,0.146,7.0,24.3,15.9,5.1,1.0,1.6,12.3,13.5,111,106,0.8,1.8,2.6,0.111,-1.4,0.6,-0.8,0.3
Richaun Holmes,2019-20,26,SAC,NBA,39,1125,33,20.5,0.0,0.312,11.5,21.3,16.3,5.4,1.7,4.7,11.8,16.0,131,108,3.2,1.5,4.6,0.198,0.6,0.9,1.5,1.0
Pat Connaughton,2019-20,27,MIL,NBA,61,1119,1,11.2,0.525,0.138,5.3,16.9,11.4,10.6,0.8,2.3,14.5,11.9,113,103,0.9,2.1,3.0,0.13,-1.1,1.6,0.5,0.7
Mike Scott,2019-20,31,PHI,NBA,63,1119,10,10.2,0.639,0.094,5.7,16.5,11.1,5.9,0.8,0.4,6.7,13.8,113,111,1.0,1.1,2.1,0.08900000000000001,-1.2,-1.1,-2.3,-0.1
Matisse Thybulle,2019-20,22,PHI,NBA,57,1110,13,9.8,0.607,0.175,3.5,5.1,4.3,8.3,3.5,3.1,15.1,11.6,103,105,0.1,1.8,1.9,0.084,-3.0,3.1,0.1,0.6
Markieff Morris,2019-20,30,TOT,NBA,52,1106,16,12.4,0.494,0.195,3.4,17.0,10.2,10.4,1.2,1.2,14.0,21.1,104,113,0.4,0.8,1.2,0.053,-1.2,-0.9,-2.1,0.0
George Hill,2019-20,33,MIL,NBA,52,1103,0,17.5,0.452,0.247,4.3,9.2,6.9,18.4,1.7,0.3,11.6,15.8,132,105,3.2,1.9,5.1,0.22,1.8,1.4,3.2,1.5
Willie Cauley-Stein,2019-20,26,TOT,NBA,54,1097,39,17.0,0.003,0.219,8.0,23.2,15.5,9.9,2.1,4.9,10.8,14.4,118,108,1.5,1.5,3.0,0.129,-1.2,1.7,0.5,0.7
Derrick Favors,2019-20,28,NOP,NBA,45,1089,43,19.0,0.023,0.203,14.1,29.0,21.5,9.8,1.1,3.4,13.3,14.4,126,108,2.4,1.4,3.8,0.168,0.8,0.4,1.2,0.9
Kelly Olynyk,2019-20,28,MIA,NBA,59,1089,6,14.7,0.584,0.259,4.0,22.0,13.4,13.2,1.7,1.6,15.1,16.9,117,108,1.7,1.5,3.2,0.14,0.1,1.0,1.1,0.8
Terence Davis,2019-20,22,TOR,NBA,64,1087,2,14.5,0.568,0.133,4.6,16.3,10.5,14.6,1.4,1.1,13.6,18.9,113,106,1.4,1.6,3.0,0.133,0.7,0.6,1.3,0.9
Brandon Clarke,2019-20,23,MEM,NBA,50,1086,3,21.8,0.127,0.228,7.7,20.3,14.1,10.1,1.1,3.3,9.3,19.0,129,109,3.1,1.3,4.4,0.192,2.8,0.7,3.5,1.5
Paul Millsap,2019-20,34,DEN,NBA,44,1075,41,17.7,0.282,0.326,9.0,17.9,13.5,9.5,1.7,2.4,12.1,20.3,117,108,2.0,1.4,3.4,0.151,0.6,0.0,0.6,0.7
Dwight Powell,2019-20,28,DAL,NBA,40,1061,37,16.0,0.17,0.485,7.5,14.7,11.2,7.7,1.6,1.8,11.5,12.7,134,110,2.6,1.1,3.7,0.16899999999999998,0.4,1.0,1.4,0.9
Gary Trent,2019-20,21,POR,NBA,53,1059,8,11.8,0.574,0.103,2.0,6.6,4.3,6.5,1.8,1.0,4.9,15.4,115,116,1.2,0.4,1.6,0.071,-0.5,-0.6,-1.1,0.3
James Ennis,2019-20,29,TOT,NBA,61,1053,10,11.5,0.473,0.265,6.3,14.5,10.4,7.2,1.3,1.6,11.6,15.2,111,110,0.9,1.2,2.1,0.096,-2.1,-0.3,-2.5,-0.1
Alex Caruso,2019-20,25,LAL,NBA,58,1032,1,11.0,0.412,0.292,1.5,10.1,5.9,12.6,2.8,1.4,13.6,13.9,108,106,0.6,1.6,2.2,0.103,-2.4,2.4,0.1,0.5
Bismack Biyombo,2019-20,27,CHO,NBA,53,1029,29,16.1,0.0,0.5429999999999999,12.3,20.7,16.3,7.8,0.5,4.4,12.2,16.8,116,112,1.5,0.9,2.4,0.113,-1.8,-0.7,-2.5,-0.1
Isaac Bonga,2019-20,20,WAS,NBA,58,1025,41,10.7,0.299,0.348,6.3,13.6,9.8,7.7,1.7,1.8,16.2,10.3,121,116,1.3,0.4,1.7,0.081,-2.4,0.0,-2.4,-0.1
Taj Gibson,2019-20,34,NYK,NBA,62,1025,56,16.1,0.049,0.196,11.2,16.7,13.9,7.6,1.3,2.8,13.1,14.8,121,113,1.8,0.8,2.6,0.12,-0.7,-0.4,-1.1,0.2
JaVale McGee,2019-20,32,LAL,NBA,61,1023,61,20.0,0.021,0.265,12.1,25.2,18.8,4.7,1.4,7.9,12.9,15.0,126,100,2.2,2.3,4.5,0.211,-0.3,2.3,2.1,1.1
Jalen Brunson,2019-20,23,DAL,NBA,57,1022,16,15.0,0.309,0.193,2.3,11.3,6.9,26.9,1.0,0.3,13.6,20.4,114,113,1.6,0.7,2.3,0.108,0.1,-0.9,-0.8,0.3
Ky Bowman,2019-20,22,GSW,NBA,45,1015,12,9.2,0.333,0.128,2.5,10.7,6.5,19.4,2.1,0.9,17.1,17.2,96,115,-0.6,0.6,-0.1,-0.003,-4.0,-0.3,-4.3,-0.6
Nerlens Noel,2019-20,25,OKC,NBA,55,1014,6,21.7,0.012,0.386,9.3,20.0,14.8,7.9,2.7,6.9,15.4,15.3,130,102,2.7,2.1,4.8,0.225,0.5,3.4,4.0,1.5
Gorgui Dieng,2019-20,30,TOT,NBA,58,1012,17,17.4,0.414,0.242,8.8,26.5,17.5,10.3,2.2,4.6,12.7,17.7,112,106,1.1,1.6,2.7,0.128,0.0,1.8,1.8,0.9
De'Anthony Melton,2019-20,21,MEM,NBA,52,1011,8,14.6,0.331,0.3,3.9,15.9,10.0,20.9,3.0,1.5,16.3,19.6,105,108,0.4,1.4,1.8,0.086,-1.6,1.8,0.3,0.6
Marvin Williams,2019-20,33,TOT,NBA,52,1011,1,11.4,0.578,0.217,2.1,13.7,7.8,8.0,1.7,2.4,9.3,13.0,116,110,1.0,1.0,2.1,0.099,-1.7,1.0,-0.7,0.3
Rondae Hollis-Jefferson,2019-20,25,TOR,NBA,52,998,5,15.5,0.058,0.4370000000000001,11.0,15.8,13.4,12.9,2.1,2.1,12.2,17.2,115,104,1.4,1.8,3.2,0.153,-1.1,1.5,0.5,0.6
Cameron Johnson,2019-20,23,PHO,NBA,49,996,1,12.2,0.705,0.142,4.3,11.5,7.8,7.4,1.4,1.4,7.7,16.0,114,113,1.1,0.7,1.8,0.086,0.5,-0.7,-0.2,0.5
Solomon Hill,2019-20,28,TOT,NBA,54,992,4,9.8,0.629,0.16899999999999998,2.9,13.2,8.2,12.6,1.7,1.1,15.0,13.2,107,111,0.4,0.9,1.3,0.064,-1.9,0.2,-1.6,0.1
Meyers Leonard,2019-20,27,MIA,NBA,49,987,49,11.1,0.534,0.117,3.2,24.1,14.1,7.7,0.6,1.5,13.0,12.0,117,110,1.0,1.1,2.1,0.104,-1.0,0.4,-0.6,0.3
Rajon Rondo,2019-20,33,LAL,NBA,48,984,3,12.4,0.381,0.125,2.6,12.9,7.9,32.4,1.9,0.2,20.8,18.7,103,108,0.2,1.3,1.5,0.073,-1.1,0.0,-1.2,0.2
Grant Williams,2019-20,21,BOS,NBA,62,970,5,8.0,0.443,0.266,6.5,11.7,9.1,8.3,1.4,3.1,17.7,11.5,105,108,0.2,1.3,1.5,0.075,-4.0,1.4,-2.6,-0.1
Jakob Poeltl,2019-20,24,SAS,NBA,58,965,10,19.6,0.0,0.339,11.6,23.0,17.3,14.6,1.5,7.7,15.2,13.3,125,108,2.0,1.3,3.3,0.165,0.8,2.3,3.1,1.2
