Player,Season,Age,Tm,Lg,G,MP,GS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,All NBA
Al Horford,2012-13,26,ATL,NBA,74,2756,74,10.8,19.9,10.8,19.8,0.1,0.1,2.5,3.9,3.7,10.6,14.2,4.5,1.5,1.5,2.8,3.1,24.2,0.5429999999999999,0.544,0.5,0.545,0.644,0.56,0
Lance Stephenson,2013-14,23,IND,NBA,78,2752,78,8.1,16.4,6.4,11.8,1.6,4.6,2.6,3.7,1.8,8.7,10.5,6.8,1.0,0.1,4.0,3.7,20.4,0.491,0.545,0.35200000000000004,0.54,0.711,0.564,0
Russell Westbrook,2015-16,27,OKC,NBA,80,2750,80,11.8,26.1,10.0,19.9,1.8,6.2,8.4,10.3,2.6,8.7,11.3,15.1,2.9,0.4,6.2,3.6,33.9,0.45399999999999996,0.503,0.29600000000000004,0.489,0.812,0.5539999999999999,1
Rudy Gobert,2016-17,24,UTA,NBA,81,2744,81,7.9,11.9,7.9,11.9,0.0,0.0,5.9,9.1,6.0,13.8,19.8,1.9,0.9,4.1,2.8,4.7,21.7,0.6609999999999999,0.662,0.0,0.6609999999999999,0.653,0.6809999999999999,1
Kemba Walker,2016-17,26,CHO,NBA,79,2739,79,11.8,26.5,7.4,15.5,4.4,11.0,5.6,6.6,0.8,4.8,5.6,7.9,1.6,0.4,3.1,2.2,33.5,0.444,0.476,0.399,0.527,0.847,0.569,0
Kemba Walker,2017-18,27,CHO,NBA,80,2736,80,10.5,24.3,6.4,13.6,4.1,10.7,6.5,7.5,0.6,3.9,4.4,7.9,1.6,0.4,3.2,1.7,31.6,0.431,0.469,0.384,0.516,0.8640000000000001,0.5720000000000001,0
Monta Ellis,2015-16,30,IND,NBA,81,2734,81,7.9,18.5,6.3,13.4,1.6,5.1,2.9,3.7,0.8,4.2,4.9,7.0,2.7,0.7,3.7,3.2,20.4,0.4270000000000001,0.472,0.309,0.47,0.7859999999999999,0.504,0
Ben Simmons,2017-18,21,PHI,NBA,81,2732,81,9.6,17.6,9.6,17.4,0.0,0.2,3.4,6.0,2.6,9.0,11.6,11.6,2.5,1.2,4.9,3.7,22.5,0.545,0.551,0.0,0.545,0.56,0.557,0
Kyrie Irving,2014-15,22,CLE,NBA,75,2730,75,11.0,23.5,8.0,16.3,3.0,7.2,6.0,7.0,1.0,3.5,4.5,7.4,2.2,0.4,3.5,2.8,31.0,0.46799999999999997,0.491,0.415,0.532,0.863,0.583,1
Josh Smith,2013-14,28,DET,NBA,77,2730,76,9.6,22.8,8.3,17.9,1.3,4.9,3.0,5.6,1.9,7.7,9.6,4.7,1.9,2.0,3.7,3.6,23.4,0.419,0.462,0.264,0.448,0.532,0.463,0
Devin Booker,2016-17,20,PHO,NBA,78,2730,78,10.6,25.1,8.0,18.0,2.6,7.1,6.4,7.7,0.8,3.6,4.4,4.7,1.3,0.4,4.2,4.2,30.3,0.423,0.447,0.363,0.475,0.8320000000000001,0.531,0
Brandon Jennings,2013-14,24,DET,NBA,80,2728,79,7.8,21.0,5.0,12.6,2.9,8.5,4.5,5.9,1.1,3.4,4.5,11.3,1.9,0.1,4.0,2.9,23.0,0.373,0.397,0.337,0.441,0.7509999999999999,0.486,0
Anthony Davis,2017-18,24,NOP,NBA,75,2727,75,13.7,25.6,12.7,22.8,1.0,2.8,8.7,10.5,3.3,11.3,14.6,3.0,2.0,3.4,2.8,2.8,36.9,0.534,0.5579999999999999,0.34,0.552,0.828,0.612,1
Taj Gibson,2017-18,32,MIN,NBA,82,2726,82,7.8,13.5,7.7,12.9,0.1,0.6,2.6,3.4,3.6,7.2,10.7,1.8,1.1,1.1,1.6,4.0,18.3,0.5770000000000001,0.595,0.2,0.581,0.768,0.61,0
