Player,Season,Age,Tm,Lg,G,MP,GS,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,All NBA
Joakim Noah\noahjo01,2013-14,28,CHI,NBA,80,2820,80,20.0,0.003,0.419,11.6,24.5,18.2,26.4,1.9,3.3,17.0,18.7,111,96,4.5,6.6,11.2,0.19,1.7,3.6,5.3,5.2,1
DeAndre Jordan\jordade01,2014-15,26,LAC,NBA,82,2820,82,21.0,0.006999999999999999,0.882,16.2,32.4,24.5,3.2,1.5,5.4,12.8,13.6,126,98,7.4,5.4,12.8,0.217,2.2,0.7,2.9,3.5,1
Paul George\georgpa01,2015-16,25,IND,NBA,81,2819,81,20.9,0.391,0.364,3.1,18.7,10.9,20.3,2.7,0.8,13.6,30.4,106,101,4.4,4.8,9.2,0.157,3.7,1.2,4.9,4.9,1
Jimmy Butler\butleji01,2016-17,27,CHI,NBA,76,2809,75,25.1,0.198,0.54,4.9,13.2,9.0,24.8,2.6,0.9,9.3,26.5,123,106,10.1,3.8,13.8,0.23600000000000002,5.6,1.7,7.3,6.6,1
Draymond Green\greendr01,2015-16,25,GSW,NBA,81,2808,81,19.3,0.315,0.402,5.5,23.0,14.7,29.0,2.0,3.0,21.2,18.8,115,100,6.0,5.1,11.1,0.19,2.6,2.9,5.5,5.3,1
Nicolas Batum\batumni01,2012-13,24,POR,NBA,73,2807,73,15.7,0.5329999999999999,0.252,4.0,13.2,8.5,20.3,1.7,2.2,17.0,18.2,109,109,3.8,1.9,5.8,0.099,2.3,0.5,2.8,3.4,0
Jeff Green\greenje02,2013-14,27,BOS,NBA,82,2805,82,13.1,0.33799999999999997,0.304,2.1,13.6,7.7,8.4,1.0,1.3,11.1,23.6,102,109,1.3,2.0,3.3,0.057,-0.2,-1.3,-1.5,0.3,0
DeMar DeRozan\derozde01,2015-16,26,TOR,NBA,78,2804,78,21.5,0.10099999999999999,0.474,2.7,11.5,7.1,20.8,1.5,0.6,9.5,29.8,113,108,7.5,2.4,9.9,0.16899999999999998,3.2,-0.7,2.5,3.2,0
Harrison Barnes\barneha02,2016-17,24,DAL,NBA,79,2803,79,16.3,0.17300000000000001,0.22,3.7,13.1,8.2,7.7,1.2,0.5,6.8,25.3,106,111,2.5,2.1,4.6,0.078,0.4,-1.2,-0.8,0.8,0
P.J. Tucker\tuckepj01,2018-19,33,HOU,NBA,82,2802,82,9.2,0.74,0.113,4.7,14.4,9.5,4.6,2.3,1.2,10.3,9.5,114,110,2.0,3.0,5.0,0.086,-1.6,1.0,-0.6,1.0,0
